[DEBUG] 2020-05-13 10:19:39.498 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3ecbaa91
[DEBUG] 2020-05-13 10:19:39.499 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3ecbaa91
[DEBUG] 2020-05-13 10:19:39.500 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6128c6cb
[DEBUG] 2020-05-13 10:19:39.500 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6128c6cb
[DEBUG] 2020-05-13 10:19:39.501 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@3c4b2bd4
[DEBUG] 2020-05-13 10:19:39.501 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@3c4b2bd4
[DEBUG] 2020-05-13 10:19:39.501 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@78677b85
[DEBUG] 2020-05-13 10:19:39.501 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@52696a4f
[DEBUG] 2020-05-13 10:19:39.502 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@14084abb
[DEBUG] 2020-05-13 10:19:39.502 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@14084abb
[DEBUG] 2020-05-13 10:19:39.502 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@4f3562d6
[DEBUG] 2020-05-13 10:19:39.503 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4f3562d6
[DEBUG] 2020-05-13 10:19:39.506 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@360cfb47
[DEBUG] 2020-05-13 10:19:39.507 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@360cfb47
[DEBUG] 2020-05-13 10:19:39.507 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@4f59db93
[DEBUG] 2020-05-13 10:19:39.507 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@4f59db93
[DEBUG] 2020-05-13 10:19:39.508 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@683b7e41
[DEBUG] 2020-05-13 10:19:39.509 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@683b7e41
[DEBUG] 2020-05-13 10:19:39.510 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@4f0bd4b7
[DEBUG] 2020-05-13 10:19:39.510 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@4f0bd4b7
[DEBUG] 2020-05-13 10:19:39.511 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@71ce1c1d
[DEBUG] 2020-05-13 10:19:39.511 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@71ce1c1d
[DEBUG] 2020-05-13 10:19:39.512 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@41c1acf8
[DEBUG] 2020-05-13 10:19:39.512 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@41c1acf8
[DEBUG] 2020-05-13 10:19:39.513 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@76fba68f
[DEBUG] 2020-05-13 10:19:39.514 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@76fba68f
[DEBUG] 2020-05-13 10:19:39.515 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@47667674
[DEBUG] 2020-05-13 10:19:39.515 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@47667674
[DEBUG] 2020-05-13 10:19:39.516 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@1423363e
[DEBUG] 2020-05-13 10:19:39.516 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@1423363e
[DEBUG] 2020-05-13 10:19:39.517 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@7730ab2d
[DEBUG] 2020-05-13 10:19:39.517 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@7730ab2d
[DEBUG] 2020-05-13 10:19:39.517 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@7730ab2d
[DEBUG] 2020-05-13 10:19:39.518 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@1044e1d6
[DEBUG] 2020-05-13 10:19:39.519 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@5c9645bb
[DEBUG] 2020-05-13 10:19:39.519 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@5c9645bb
[DEBUG] 2020-05-13 10:19:39.519 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@5c9645bb
[DEBUG] 2020-05-13 10:19:39.519 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@750bab1e
[DEBUG] 2020-05-13 10:19:39.520 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@5acd9e00
[DEBUG] 2020-05-13 10:19:39.520 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@5acd9e00
[DEBUG] 2020-05-13 10:19:39.521 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@3ffd9b7f
[DEBUG] 2020-05-13 10:19:39.521 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@3ffd9b7f
[DEBUG] 2020-05-13 10:19:39.522 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@5f97d69
[DEBUG] 2020-05-13 10:19:39.522 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@5f97d69
[DEBUG] 2020-05-13 10:19:39.522 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@42722731
[DEBUG] 2020-05-13 10:19:39.522 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@42722731
[DEBUG] 2020-05-13 10:19:39.523 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@256d1080
[DEBUG] 2020-05-13 10:19:39.523 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@256d1080
[DEBUG] 2020-05-13 10:19:39.523 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@5c86376
