[DEBUG] 2020-05-13 12:42:58.112 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-05-13 12:42:58.115 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-05-13 12:42:58.117 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-05-13 12:42:58.151 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-05-13 12:42:58.153 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-05-13 12:42:58.250 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-05-13 12:42:58.251 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-05-13 12:42:58.255 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-05-13 12:42:58.413 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-05-13 12:42:58.422 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-05-13 12:42:58.423 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-05-13 12:42:58.433 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-05-13 12:42:58.450 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@62891fc8
[DEBUG] 2020-05-13 12:42:58.450 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@62891fc8
[DEBUG] 2020-05-13 12:42:58.450 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@62891fc8
[DEBUG] 2020-05-13 12:42:58.451 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@3ae0b770
[DEBUG] 2020-05-13 12:42:58.451 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@732c9b5c
[DEBUG] 2020-05-13 12:42:58.451 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@213c3543
[DEBUG] 2020-05-13 12:42:58.452 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3effd4f3
[DEBUG] 2020-05-13 12:42:58.452 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3effd4f3
[DEBUG] 2020-05-13 12:42:58.452 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3effd4f3
[DEBUG] 2020-05-13 12:42:58.452 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@eb507b9
[DEBUG] 2020-05-13 12:42:58.452 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@eb507b9
[DEBUG] 2020-05-13 12:42:58.453 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@eb507b9
[DEBUG] 2020-05-13 12:42:58.453 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7aa9e414
[DEBUG] 2020-05-13 12:42:58.453 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7aa9e414
[DEBUG] 2020-05-13 12:42:58.453 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@7aa9e414
[DEBUG] 2020-05-13 12:42:58.454 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7afbf561
[DEBUG] 2020-05-13 12:42:58.454 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7afbf561
[DEBUG] 2020-05-13 12:42:58.454 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7afbf561
[DEBUG] 2020-05-13 12:42:58.455 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@771cbb1a
[DEBUG] 2020-05-13 12:42:58.456 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@771cbb1a
[DEBUG] 2020-05-13 12:42:58.456 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@771cbb1a
[DEBUG] 2020-05-13 12:42:58.457 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@64693226
[DEBUG] 2020-05-13 12:42:58.457 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@64693226
[DEBUG] 2020-05-13 12:42:58.457 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@64693226
[DEBUG] 2020-05-13 12:42:58.458 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5ec46cdd
[DEBUG] 2020-05-13 12:42:58.458 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5ec46cdd
[DEBUG] 2020-05-13 12:42:58.458 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@5ec46cdd
[DEBUG] 2020-05-13 12:42:58.458 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@4da9f723
[DEBUG] 2020-05-13 12:42:58.459 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@4da9f723
[DEBUG] 2020-05-13 12:42:58.459 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6fca5907
[DEBUG] 2020-05-13 12:42:58.459 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6fca5907
[DEBUG] 2020-05-13 12:42:58.460 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@67d86804
[DEBUG] 2020-05-13 12:42:58.460 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@67d86804
[DEBUG] 2020-05-13 12:42:58.460 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6fa69af7
[DEBUG] 2020-05-13 12:42:58.460 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@2ff15f8c
[DEBUG] 2020-05-13 12:42:58.461 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@327ed9f5
