[DEBUG] 2020-04-20 20:18:47.309 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-20 20:18:47.312 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-20 20:18:47.315 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-04-20 20:18:47.348 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-04-20 20:18:47.351 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-04-20 20:18:47.442 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-04-20 20:18:47.445 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-04-20 20:18:47.450 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-20 20:18:47.607 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-20 20:18:47.617 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-20 20:18:47.618 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-04-20 20:18:47.627 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-04-20 20:18:47.642 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7b78ed6a
[DEBUG] 2020-04-20 20:18:47.642 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7b78ed6a
[DEBUG] 2020-04-20 20:18:47.642 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7b78ed6a
[DEBUG] 2020-04-20 20:18:47.642 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@47447ccf
[DEBUG] 2020-04-20 20:18:47.642 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@67d86804
[DEBUG] 2020-04-20 20:18:47.644 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@6fa69af7
[DEBUG] 2020-04-20 20:18:47.644 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2e3f79a2
[DEBUG] 2020-04-20 20:18:47.644 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2e3f79a2
[DEBUG] 2020-04-20 20:18:47.644 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2e3f79a2
[DEBUG] 2020-04-20 20:18:47.645 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@68b58644
[DEBUG] 2020-04-20 20:18:47.645 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@68b58644
