[DEBUG] 2020-04-20 00:47:12.368 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-04-20 00:47:12.373 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-04-20 00:47:12.382 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-04-20 00:47:12.486 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-04-20 00:47:12.488 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-04-20 00:47:12.676 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-04-20 00:47:12.676 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-04-20 00:47:12.678 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-04-20 00:47:12.910 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-04-20 00:47:12.932 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-04-20 00:47:12.932 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-04-20 00:47:12.942 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-04-20 00:47:12.968 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@25e49cb2
[DEBUG] 2020-04-20 00:47:12.968 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@25e49cb2
[DEBUG] 2020-04-20 00:47:12.968 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@25e49cb2
[DEBUG] 2020-04-20 00:47:12.968 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7d5508e0
[DEBUG] 2020-04-20 00:47:12.968 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@367d2816
[DEBUG] 2020-04-20 00:47:12.971 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@379ce046
[DEBUG] 2020-04-20 00:47:12.972 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1f44ddab
[DEBUG] 2020-04-20 00:47:12.972 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1f44ddab
[DEBUG] 2020-04-20 00:47:12.975 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1f44ddab
[DEBUG] 2020-04-20 00:47:12.975 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5b275174
[DEBUG] 2020-04-20 00:47:12.976 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5b275174
[DEBUG] 2020-04-20 00:47:12.976 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5b275174
[DEBUG] 2020-04-20 00:47:12.976 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@59c33386
[DEBUG] 2020-04-20 00:47:12.976 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@59c33386
[DEBUG] 2020-04-20 00:47:12.977 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@59c33386
[DEBUG] 2020-04-20 00:47:12.977 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@736309a9
