[DEBUG] 2020-05-12 13:09:35.562 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@4623c9f7
[DEBUG] 2020-05-12 13:09:35.563 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@4623c9f7
[DEBUG] 2020-05-12 13:09:35.563 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@336bdc5b
[DEBUG] 2020-05-12 13:09:35.563 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@336bdc5b
[DEBUG] 2020-05-12 13:09:35.564 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@4c8b2863
[DEBUG] 2020-05-12 13:09:35.564 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@4c8b2863
[DEBUG] 2020-05-12 13:09:35.564 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6251d6d6
[DEBUG] 2020-05-12 13:09:35.565 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@57ec77dc
[DEBUG] 2020-05-12 13:09:35.565 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@7354f1b2
[DEBUG] 2020-05-12 13:09:35.565 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@7354f1b2
[DEBUG] 2020-05-12 13:09:35.566 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@7c2cb206
[DEBUG] 2020-05-12 13:09:35.566 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@7c2cb206
[DEBUG] 2020-05-12 13:09:35.570 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@2e352ef5
[DEBUG] 2020-05-12 13:09:35.570 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@2e352ef5
[DEBUG] 2020-05-12 13:09:35.571 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@31813f3b
[DEBUG] 2020-05-12 13:09:35.571 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@31813f3b
[DEBUG] 2020-05-12 13:09:35.572 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@5dbe903b
[DEBUG] 2020-05-12 13:09:35.572 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@5dbe903b
[DEBUG] 2020-05-12 13:09:35.574 [http-nio-8080-exec-4] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@174adfba
