[DEBUG] 2020-05-04 13:14:35.859 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-05-04 13:14:35.862 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-05-04 13:14:35.864 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-05-04 13:14:35.898 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-05-04 13:14:35.900 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-05-04 13:14:36.014 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-05-04 13:14:36.016 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-05-04 13:14:36.020 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-05-04 13:14:36.176 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-05-04 13:14:36.185 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-05-04 13:14:36.185 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-05-04 13:14:36.194 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-05-04 13:14:36.208 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@9d3c67
[DEBUG] 2020-05-04 13:14:36.208 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@9d3c67
[DEBUG] 2020-05-04 13:14:36.208 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@9d3c67
[DEBUG] 2020-05-04 13:14:36.212 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@71d8cfe7
[DEBUG] 2020-05-04 13:14:36.212 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@46d63dbb
[DEBUG] 2020-05-04 13:14:36.212 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@23706db8
[DEBUG] 2020-05-04 13:14:36.213 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5c60b0a0
[DEBUG] 2020-05-04 13:14:36.213 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5c60b0a0
[DEBUG] 2020-05-04 13:14:36.213 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5c60b0a0
[DEBUG] 2020-05-04 13:14:36.213 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@760cf594
[DEBUG] 2020-05-04 13:14:36.213 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@760cf594
[DEBUG] 2020-05-04 13:14:36.214 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@760cf594
[DEBUG] 2020-05-04 13:14:36.214 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5c73f672
[DEBUG] 2020-05-04 13:14:36.214 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5c73f672
[DEBUG] 2020-05-04 13:14:36.214 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5c73f672
[DEBUG] 2020-05-04 13:14:36.215 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7a34f66a
[DEBUG] 2020-05-04 13:14:36.215 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7a34f66a
[DEBUG] 2020-05-04 13:14:36.215 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7a34f66a
[DEBUG] 2020-05-04 13:14:36.215 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2459319c
[DEBUG] 2020-05-04 13:14:36.216 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2459319c
[DEBUG] 2020-05-04 13:14:36.216 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2459319c
[DEBUG] 2020-05-04 13:14:36.216 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7808f638
[DEBUG] 2020-05-04 13:14:36.216 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7808f638
[DEBUG] 2020-05-04 13:14:36.216 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7808f638
[DEBUG] 2020-05-04 13:14:36.216 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3db663d0
[DEBUG] 2020-05-04 13:14:36.217 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3db663d0
[DEBUG] 2020-05-04 13:14:36.217 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3db663d0
[DEBUG] 2020-05-04 13:14:36.217 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@5524b72f
[DEBUG] 2020-05-04 13:14:36.217 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5524b72f
[DEBUG] 2020-05-04 13:14:36.217 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4e6f2bb5
[DEBUG] 2020-05-04 13:14:36.218 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4e6f2bb5
[DEBUG] 2020-05-04 13:14:36.218 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@6cd166b8
[DEBUG] 2020-05-04 13:14:36.218 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@6cd166b8
[DEBUG] 2020-05-04 13:14:36.218 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@38af1bf6
[DEBUG] 2020-05-04 13:14:36.218 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7a0f244f
