[DEBUG] 2020-05-13 10:32:46.438 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-05-13 10:32:46.441 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-05-13 10:32:46.443 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-05-13 10:32:46.475 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-05-13 10:32:46.475 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-05-13 10:32:46.569 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-05-13 10:32:46.569 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-05-13 10:32:46.572 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-05-13 10:32:46.686 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-05-13 10:32:46.695 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-05-13 10:32:46.696 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-05-13 10:32:46.704 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-05-13 10:32:46.721 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4088741b
[DEBUG] 2020-05-13 10:32:46.721 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4088741b
[DEBUG] 2020-05-13 10:32:46.721 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4088741b
[DEBUG] 2020-05-13 10:32:46.721 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@205bed61
[DEBUG] 2020-05-13 10:32:46.721 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7c2b58c0
[DEBUG] 2020-05-13 10:32:46.722 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@7a2b1eb4
[DEBUG] 2020-05-13 10:32:46.722 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@37303f12
[DEBUG] 2020-05-13 10:32:46.722 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@37303f12
[DEBUG] 2020-05-13 10:32:46.722 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@37303f12
[DEBUG] 2020-05-13 10:32:46.723 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2ab5afc7
[DEBUG] 2020-05-13 10:32:46.723 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2ab5afc7
[DEBUG] 2020-05-13 10:32:46.723 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2ab5afc7
[DEBUG] 2020-05-13 10:32:46.723 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3ed03652
[DEBUG] 2020-05-13 10:32:46.723 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3ed03652
[DEBUG] 2020-05-13 10:32:46.723 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3ed03652
[DEBUG] 2020-05-13 10:32:46.724 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@1dc76fa1
[DEBUG] 2020-05-13 10:32:46.724 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@1dc76fa1
[DEBUG] 2020-05-13 10:32:46.724 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@1dc76fa1
[DEBUG] 2020-05-13 10:32:46.724 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1e141e42
[DEBUG] 2020-05-13 10:32:46.724 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@1e141e42
[DEBUG] 2020-05-13 10:32:46.724 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@1e141e42
[DEBUG] 2020-05-13 10:32:46.725 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2de50ee4
[DEBUG] 2020-05-13 10:32:46.725 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@2de50ee4
[DEBUG] 2020-05-13 10:32:46.725 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2de50ee4
[DEBUG] 2020-05-13 10:32:46.725 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4e17913b
[DEBUG] 2020-05-13 10:32:46.726 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4e17913b
[DEBUG] 2020-05-13 10:32:46.726 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4e17913b
[DEBUG] 2020-05-13 10:32:46.726 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@3f628ce9
[DEBUG] 2020-05-13 10:32:46.726 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@3f628ce9
[DEBUG] 2020-05-13 10:32:46.727 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@75fc1992
[DEBUG] 2020-05-13 10:32:46.727 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@75fc1992
[DEBUG] 2020-05-13 10:32:46.727 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@3672276e
[DEBUG] 2020-05-13 10:32:46.727 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@3672276e
[DEBUG] 2020-05-13 10:32:46.727 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@2330e3e0
[DEBUG] 2020-05-13 10:32:46.728 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@706eab5d
